manufacturer,model,aliases,category,likely_valuable_components,component_type,confidence_level,desirability_score,maximum_worthwhile_delivered_price_gbp,ideal_fault_types,risky_fault_types,salvage_difficulty,package_or_removal_notes,source_or_verification_note,general_comments
Denon,DCD-1450AR,DCD1450AR|1450AR,CD player,2 x Burr-Brown PCM1702-L DACs; SM5845 digital filter; transformer,standalone DAC|DSP|transformer or mechanical salvage,confirmed,89,120,laser failure; tray fault; no disc; cosmetic damage,no audio; missing audio PCB; corrosion,medium,PCM1702 devices are valuable; use careful hot-air or low-melt removal.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Strong multibit donor.
Denon,DCD-1500,DCD1500|DCD-1500 II|DCD1500II,CD player,DAC stage; op-amps; substantial transformer; transport,standalone DAC|op-amp|transformer or mechanical salvage,probable,76,100,tray fault; no disc; missing remote,no sound; burnt PSU; water damage,hard,Heavy; transformer and analogue board useful,Higher-line Denon player class; verify exact DAC per revision,May be worth more intact.
Denon,DCD-1520,DCD1520|1520,CD player,2 x Burr-Brown PCM64P DACs; digital filter; transformer,standalone DAC|DSP|transformer or mechanical salvage,confirmed,93,145,transport fault; no disc; tray fault,no audio; missing DAC board; corrosion,medium,PCM64P devices are valuable through-hole multibit parts.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,"A very desirable donor, though collectors know it."
Denon,DCD-1560,DCD1560,CD player,PCM1702/PCM1704-era DAC reported in some references uncertain; transformer; op-amps,standalone DAC|op-amp|transformer or mechanical salvage,uncertain,78,110,transport fault; no disc; missing remote,burnt board; no sound; missing DAC board,hard,Verify exact DAC markings before paying premium,Conflicting online references by market/revision; internal photo required,Potentially interesting but do not assume R-2R parts.
Denon,DCD-1630,DCD1630|1630,CD player,2 x Burr-Brown PCM1701P DACs; SM5813 digital filter; transformer,standalone DAC|DSP|transformer or mechanical salvage,confirmed,86,105,laser fault; tray fault; no disc,no audio; water damage; missing board,medium,Through-hole PCM1701 parts are relatively straightforward to harvest.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Good saved-search candidate.
Denon,DCD-1650,DCD1650|DCD-1650AR|DCD1650AR,CD player,high-grade DAC stage; transformer; op-amps; transport,standalone DAC|op-amp|transformer or mechanical salvage,probable,86,170,no disc; tray fault; missing remote,burnt board; lightning; water damage,hard,Heavy and complex,High-line Denon model; exact revision matters,Often worth more intact.
Denon,DCD-1650AL,DCD1650AL|1650AL,CD player,4 x Burr-Brown PCM1702 DACs; SM5845 digital filter; transformer,standalone DAC|DSP|transformer or mechanical salvage,confirmed,96,190,laser fault; tray fault; cosmetic damage,no sound; missing analogue board; corrosion,hard,Four valuable DACs; photograph and map revisions before removal.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Rare and often too valuable intact.
Denon,DCD-1650AZ,DCD1650AZ|1650AZ,CD player,4 x Burr-Brown PCM1704 DACs; PMD100 digital filter; transformer,standalone DAC|DSP|transformer or mechanical salvage,confirmed,99,250,transport fault; no disc; cosmetic damage,no audio; parts removed; modified DAC board,hard,PCM1704 and PMD100 are highly desirable and frequently counterfeited.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,"Exceptional donor, but unlikely to be cheap."
Denon,DCD-2560,DCD2560,CD player,high-end DAC stage; substantial transformer; transport,standalone DAC|op-amp|transformer or mechanical salvage,probable,84,150,no disc; tray fault; display fault,burnt board; water damage; missing DAC board,hard,Heavy; often worth repair,High-line Denon; exact DAC needs service manual/photo verification,Usually more valuable intact.
Denon,DCD-620,DCD620,CD player,DAC stage; op-amps; transformer; transport,standalone DAC|op-amp|transformer or mechanical salvage,uncertain,58,45,tray fault; no disc; missing remote,burnt board; no sound; water damage,medium,Verify converter chip before buying,Older Denon CD player; exact DAC not assumed,Cheap only.
Denon,DCD-625,DCD625,CD player,DAC stage; op-amps; transformer; transport,standalone DAC|op-amp|transformer or mechanical salvage,uncertain,58,45,tray fault; no disc; missing remote,burnt board; no sound; liquid damage,medium,Verify board photos,Model-specific chip uncertain,Common enough in UK.
Denon,DCD-825,DCD825,CD player,DAC stage; op-amps; transformer; transport,standalone DAC|op-amp|transformer or mechanical salvage,uncertain,62,55,tray fault; no disc; missing remote,burnt board; water damage; no sound,medium,Good chassis/PSU donor,Exact DAC should be verified,Do not assume premium DAC.
Marantz,CD-17,CD17|Marantz CD17,CD player,Philips TDA1547 DAC; SAA7350; SM5841; op-amps; transformer,standalone DAC|DSP|op-amp|transformer or mechanical salvage,confirmed,90,140,transport fault; no disc; tray fault,no audio; missing DAC board; liquid damage,hard,TDA1547 and surrounding digital filter parts are desirable; preserve board context.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Often worth repairing rather than stripping.
Marantz,CD-17 Mk II,CD17 Mk2|CD-17 MKII,CD player,Philips TDA1547 DAC; TDA1307 filter/interface; transformer,standalone DAC|DSP|transformer or mechanical salvage,confirmed,89,140,laser fault; tray fault; display fault,no sound; missing main PCB; corrosion,hard,Verify revision because Mk III uses different DACs.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Revision-sensitive listing.
Marantz,CD-23,CD23|Marantz CD23,CD player,2 x Philips TDA1547 DACs; CDM-9 Pro transport; transformer,standalone DAC|transformer or mechanical salvage,confirmed,98,250,transport control fault; tray fault; cosmetic damage,no audio; missing DAC PCB; heavily modified,hard,Dual valuable DACs and desirable transport; whole unit has collector value.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,More likely a repair/resale target than a sacrificial donor.
Marantz,CD-40,CD40,CD player,Philips TDA1541-family DAC probable; CDM transport; transformer,standalone DAC|transformer or mechanical salvage,probable,76,80,tray fault; no disc; missing remote,no sound; burnt board; water damage,medium,Philips-derived internals; check photos,Common Marantz/Philips platform; verify DAC marking,Practical UK donor if cheap.
Marantz,CD-50,CD50,CD player,TDA1541A DAC probable; CDM transport; op-amps; transformer,standalone DAC|op-amp|transformer or mechanical salvage,probable,82,100,tray belt; no disc; missing remote,no sound; burnt PSU; corrosion,medium,DAC board and transport worth checking,Widely associated with TDA1541A; verify board,Often repairable and desirable.
Marantz,CD-52,CD52|CD-52 MkII|CD52SE,CD player,bitstream or TDA depending version uncertain; op-amps; transformer; transport,standalone DAC|op-amp|transformer or mechanical salvage,uncertain,62,55,tray fault; no disc; display dim,no sound; burnt board; water damage,medium,Version matters; verify exact board,Model revisions vary; no exact DAC assumed,Good cheap donor if not collectible SE.
Marantz,CD-60,CD60|Marantz CD60 vintage,CD player,Philips TDA1541A DAC; SAA7220 digital filter; CDM-4 transport; transformer,standalone DAC|DSP|transformer or mechanical salvage,confirmed,91,130,tray fault; laser fault; no disc; cosmetic damage,no sound; missing DAC; corrosion,medium,TDA1541A is through-hole; avoid overheating and preserve provenance.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Use aliases carefully to avoid the unrelated modern CD 60.
Marantz,CD-63,CD63|CD-63 KI|CD63SE,CD player,DAC stage; op-amps; transformer; CD transport,standalone DAC|op-amp|transformer or mechanical salvage,probable,70,70,tray fault; laser fault; missing remote,no sound; burnt board; water damage,medium,KI/SE worth more intact; salvage base faulty units,Common modding platform; exact DAC should be verified by revision,KI Signature usually too valuable intact.
Marantz,CD-67,CD67|CD67SE|CD-67SE,CD player,DAC stage; op-amps; transformer; CD transport,standalone DAC|op-amp|transformer or mechanical salvage,probable,68,60,laser fault; tray fault; missing remote,no sound; burnt PCB; corrosion,medium,Good op-amp/PSU donor if cheap,Common UK player; verify DAC chip by photo,Avoid high-price SE variants for salvage.
Marantz,CD-72,CD72|CD72SE,CD player,DAC stage; op-amps; transformer; transport,standalone DAC|op-amp|transformer or mechanical salvage,probable,72,80,tray fault; no disc; missing remote,burnt board; water damage; no sound,medium,Sturdy chassis; check DAC board,Model-specific DAC varies; verify internals,Can be worth repair intact.
Marantz,CD-72 Mk II,CD72 Mk2|CD-72 MKII,CD player,Philips TDA1547 DAC; SAA7350; SM5840; CDM-4 transport,standalone DAC|DSP|transformer or mechanical salvage,confirmed,88,115,tray fault; laser fault; display fault,no audio; missing board; water damage,hard,Do not confuse with ordinary CD-72 variants.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Suffix and revision are essential.
Marantz,CD6000,CD-6000|CD6000 OSE|CD6000OSE,CD player,DAC stage; op-amps; transformer; transport,standalone DAC|op-amp|transformer or mechanical salvage,probable,68,65,laser fault; tray fault; missing remote,no sound; burnt board; water damage,medium,OSE units can be worth intact,Common UK player; verify board photos,Do not overpay.
Marantz,CD7300,CD-7300,CD player,Cirrus/Crystal DAC stage probable; op-amps; transformer,standalone DAC|op-amp|transformer or mechanical salvage,probable,66,70,no disc; tray fault; missing remote,no sound; burnt board; corrosion,medium,Check DAC chip markings,Exact chip should be verified; model is common donor class,Good if cosmetically rough.
Meridian,206,Meridian 206 CD,CD player,Philips TDA1541A-S1 DAC; CDM-4/21 transport; analogue stage; transformer,standalone DAC|op-amp|transformer or mechanical salvage,confirmed,97,220,transport fault; display fault; tray fault,no audio; missing DAC board; modified unit,medium,Single-crown TDA1541A-S1 has high collector value.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Usually worth preserving intact.
Meridian,508.24,508 24|508-24,CD player,Cirrus Logic CS4390 DAC; analogue output stage; transformer,standalone DAC|op-amp|transformer or mechanical salvage,confirmed,77,105,transport fault; display fault; cosmetic damage,no audio; digital board fault,medium,Board-level study may be more useful than bare-chip salvage.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Model is often listed without punctuation.
Meridian,588,Meridian 588 CD,CD player,Analog Devices AD1852 DAC; op-amps; DVD-ROM transport; transformer,standalone DAC|op-amp|transformer or mechanical salvage,confirmed,72,95,transport fault; disc read fault; cosmetic damage,no audio; processor board failure,medium,AD1852 is software controlled; retain control context.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Not exotic enough to overpay for.
Mission-Cyrus,CD 6S,Cyrus CD6S|CD6 S|CD 6 S,CD player,Burr-Brown PCM1738 DAC; op-amps; Philips transport; transformer,standalone DAC|op-amp|transformer or mechanical salvage,confirmed,76,80,transport fault; no disc; display fault,no audio; PSU damage; missing boards,medium,Compact densely packed construction.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Search both Cyrus and Mission-Cyrus.
Mission-Cyrus,CD 8x,Cyrus CD8x|CD8 X|CD 8 X,CD player,2 x Burr-Brown PCM1738 DACs; op-amps; transformer,standalone DAC|op-amp|transformer or mechanical salvage,confirmed,85,120,disc read fault; tray fault; cosmetic damage,no sound; PSU failure; missing audio board,hard,Dual DAC architecture; trace before stripping.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Can still command good money intact.
Music Hall,CD25.2,CD 25.2|Music Hall CD25 2,CD player,Burr-Brown PCM1738E DAC; VAM1202 transport; op-amps; transformer,standalone DAC|op-amp|transformer or mechanical salvage,confirmed,75,75,no disc; tray fault; laser fault,no audio; missing output board,medium,Conventional DAC/output architecture.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,"Less common in the UK, but worth including."
Musical Fidelity,A3.2 CD,A3.2|A3 2 CD,CD player,Burr-Brown PCM1738E DAC; op-amps; transformer,standalone DAC|op-amp|transformer or mechanical salvage,confirmed,77,90,laser fault; tray fault; no disc,no audio; burnt PSU; missing board,medium,"Verify that listing is the CD player, not the amplifier.",https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Use category terms in searches to reduce false matches.
Musical Fidelity,A5 CD,A5 CD Player|Musical Fidelity A5CD,CD player,Burr-Brown DSD1792 DAC; SRC4193 sample-rate converter; op-amps; transformer,standalone DAC|sample-rate converter|op-amp|transformer or mechanical salvage,confirmed,88,150,transport fault; display fault; cosmetic damage,no audio; digital board fault; liquid damage,hard,Both DAC and SRC are software-controlled surface-mount parts.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Attractive donor only at a substantial discount.
Philips,CD104,CD 104,CD player,TDA1540-family DAC probable; CDM swing-arm transport; transformer,standalone DAC|transformer or mechanical salvage,probable,78,90,no disc; tray or loading fault; missing remote; display fault,no sound; burnt PSU; water damage; missing DAC board,hard,Heavy; transport and DAC boards desirable; mains safety,Classic Philips early CD architecture; verify board revision,Often collected; avoid overpaying.
Philips,CD150,CD 150,CD player,TDA1540/TDA1541-family DAC uncertain by revision; CDM transport; transformer,standalone DAC|transformer or mechanical salvage,uncertain,65,55,laser fault; no disc; tray fault,burnt board; water damage; missing transport,hard,Verify DAC chip before buying,Model/revision variations; internal photo required,Cheap examples can be useful.
Philips,CD160,CD 160,CD player,TDA1541-family DAC probable; CDM transport; transformer,standalone DAC|transformer or mechanical salvage,probable,72,70,no disc; tray fault; missing remote,burnt board; water damage; no sound,hard,Old Philips mechanisms are valuable but delicate,Common online service/photo references; verify chip markings,Some units worth repairing intact.
Philips,CD204,CD 204,CD player,TDA1540-family DAC probable; CDM transport; transformer,standalone DAC|transformer or mechanical salvage,probable,74,75,no disc; tray/load fault; display fault,burnt PSU; missing transport; water damage,hard,Heavy; mechanical parts useful,Classic Philips donor; exact DAC should be checked,Often collectible.
Philips,CD304,CD 304,CD player,TDA1540-family DAC probable; CDM transport; transformer,standalone DAC|transformer or mechanical salvage,probable,78,90,no disc; tray fault; missing remote,burnt board; water damage; no audio,hard,Very heavy; shipping risk,Classic Philips metal-build player; verify internals,May be worth more intact.
Philips,CD450,CD 450,CD player,TDA1541-family DAC probable; CDM transport; transformer,standalone DAC|transformer or mechanical salvage,probable,70,60,no disc; tray belt; missing remote,no sound; burnt board; water damage,medium,Useful DAC/transport donor if cheap,Common Philips TDA-era model; verify board photo,Good UK eBay target.
Philips,CD473,CD 473,CD player,TDA1541-family DAC uncertain/probable; CDM transport; transformer,standalone DAC|transformer or mechanical salvage,uncertain,66,50,tray fault; no disc; broken display,no sound; missing PCB; corrosion,medium,Verify chip markings before bidding,Model-specific chip not assumed; internal photo needed,Only buy cheaply.
Philips,CD650,CD 650,CD player,TDA1541/TDA1541A DAC probable; CDM transport; transformer,standalone DAC|transformer or mechanical salvage,probable,82,100,no disc; tray belt; missing remote,no sound; burnt board; water damage,medium,DAC and transport both interesting,Widely associated with TDA1541 family; verify chip,Often valuable intact.
Philips,CD753,CD 753,CD player,bitstream DAC uncertain; CDM/VAM transport parts; transformer,standalone DAC|transformer or mechanical salvage,uncertain,50,30,tray fault; no disc; missing remote,burnt board; water damage; no sound,easy,Mostly mechanical/PSU donor unless chip verified,Later Philips players vary; verify board photos,Cheap donor only.
Philips,CD850,CD 850,CD player,TDA1541A DAC probable; CDM transport; transformer,standalone DAC|transformer or mechanical salvage,probable,86,120,no disc; tray fault; display dim,no sound; burnt board; missing DAC board,hard,High intact value; heavy shipping,Widely cited TDA1541A-era Philips; verify internals,Usually worth repair if complete.
Philips,CD960,CD 960,CD player,TDA1541A/S-class DAC reported on some units; CDM1 transport; transformer,standalone DAC|transformer or mechanical salvage,probable,92,180,transport fault; no disc; tray issue,missing DAC board; water damage; burnt PSU,hard,Very heavy and collectible; salvage only if beyond repair,Vintage Philips references commonly note TDA1541A/CDM1; verify exact chip grade,Usually worth more intact.
Pioneer,PD-S505,PDS505,CD player,DAC/filter stage; stable platter mechanism,standalone DAC|DSP|transformer or mechanical salvage,uncertain,55,40,tray fault; no disc; missing remote,burnt board; no sound; water damage,easy,Verify chip markings,Exact components not assumed,Cheap common unit.
Pioneer,PD-S703,PDS703|Stable Platter,CD player,Legato Link DAC/filter stage; stable platter mechanism; transformer,standalone DAC|DSP|transformer or mechanical salvage,probable,68,60,tray fault; no disc; missing remote,no sound; burnt board; water damage,medium,Stable platter parts useful; verify laser,Known Pioneer stable-platter player; exact DAC should be checked,Common UK donor.
Pioneer,PD-S904,PDS904|Stable Platter,CD player,Legato Link DAC/filter stage; stable platter mechanism; transformer,standalone DAC|DSP|transformer or mechanical salvage,probable,74,85,no disc; tray fault; display issue,burnt board; water damage; no sound,medium,Transport/chassis useful,Pioneer stable-platter high model; verify internals,May be valuable intact.
Rotel,RCD-1070,RCD1070|Rotel 1070 CD,CD player,Burr-Brown PCM1732U DAC; op-amps; KSS-213 transport; transformer,standalone DAC|op-amp|transformer or mechanical salvage,confirmed,69,55,no disc; tray fault; laser fault,no audio; missing output board,medium,Useful but not rare enough to justify a high price.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Common enough to appear cheaply.
Rotel,RCD-955AX,RCD955AX|955 AX,CD player,Philips TDA1541A DAC; SAA7220 digital filter; CDM-4 transport; transformer,standalone DAC|DSP|transformer or mechanical salvage,confirmed,92,135,tray fault; laser fault; no disc,no sound; missing DAC; corrosion,medium,Through-hole DAC and desirable transport.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,A classic hidden-gem search term.
Rotel,RCD-971,RCD971|Rotel 971 CD,CD player,2 x Burr-Brown PCM63P DACs; PMD100 digital filter; op-amps; transformer,standalone DAC|DSP|op-amp|transformer or mechanical salvage,confirmed,97,190,laser fault; tray fault; cosmetic damage,no audio; DAC board missing; modified unit,medium,PCM63 and PMD100 are especially desirable and should be removed carefully.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,"Excellent donor, but increasingly recognised by sellers."
Rotel,RCD-990,RCD990|Rotel 990 CD,CD player,2 x Burr-Brown PCM63P DACs; PMD100 digital filter; CDM-9 Pro transport,standalone DAC|DSP|transformer or mechanical salvage,confirmed,98,220,transport fault; tray fault; cosmetic damage,no sound; missing boards; corrosion,hard,Both electronics and transport are valuable.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Usually too valuable to break unless badly damaged.
Rotel,RCD-991,RCD991|Rotel 991 CD,CD player,2 x Burr-Brown PCM63P DACs; PMD100 digital filter; op-amps; transformer,standalone DAC|DSP|op-amp|transformer or mechanical salvage,confirmed,98,210,laser fault; tray fault; cosmetic damage,no audio; missing DACs; modified output stage,medium,High-value through-hole DAC/filter pair.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Prime saved-search material.
Sony,CDP-227ESD,CDP227ESD,CD player,Sony DAC/filter stage; transformer; KSS optical block,standalone DAC|DSP|transformer or mechanical salvage,probable,70,70,no disc; tray fault; missing remote,no sound; burnt board; corrosion,medium,KSS laser/transport parts may be useful,Sony ES player; exact DAC/filter IC should be verified,Some ES units collectible.
Sony,CDP-337ESD,CDP337ESD,CD player,Sony DAC/filter stage; transformer; KSS transport,standalone DAC|DSP|transformer or mechanical salvage,probable,76,100,laser fault; tray fault; display issue,burnt board; water damage; no sound,hard,Heavy; verify board photos,Sony ES line; exact chips require service manual/photo,Likely worth repair if complete.
Sony,CDP-XB930,CDPXB930|XB930,CD player,DAC/filter stage; op-amps; transformer; KSS transport,standalone DAC|op-amp|transformer or mechanical salvage,probable,64,55,tray fault; no disc; missing remote,burnt board; water damage; no sound,medium,Good transport donor if cheap,Common UK Sony player; exact DAC not assumed,Often cheap with laser faults.
Sony,CDP-XE900E,CDPXE900E|XE900E,CD player,DAC/filter stage; op-amps; transport parts,standalone DAC|op-amp|transformer or mechanical salvage,uncertain,55,40,no disc; tray fault; missing remote,burnt board; water damage,easy,Lower salvage value; verify before buying,Exact IC uncertain,Cheap only.
Technics,SL-P1200,SLP1200|SL-P 1200,CD player,professional CD transport; DAC stage; transformer,standalone DAC|transformer or mechanical salvage,probable,82,150,no disc; display fault; tray fault,burnt board; water damage; missing transport,hard,Pro deck; heavy; often worth repair,Known professional Technics CD player; exact DAC needs service data,Usually worth more intact.
Technics,SL-PG490,SLPG490,CD player,MASH DAC stage; transformer; transport,standalone DAC|DSP|transformer or mechanical salvage,probable,52,35,tray fault; no disc; missing remote,burnt board; water damage; no sound,easy,Low-value donor; transport/PSU parts,Technics MASH-era player; verify board photos,Common cheap UK listing.
Technics,SL-PS620A,SLPS620A|SL-PS620,CD player,MASH DAC stage; transformer; transport,standalone DAC|DSP|transformer or mechanical salvage,probable,58,45,tray fault; no disc; display dim,burnt board; no sound; water damage,medium,Check transport and DAC board,Technics MASH-era; exact IC should be verified,Good cheap donor.
Aiwa,XD-S1100,XDS1100|Aiwa DAT,DAT recorder,ADC/DAC; op-amps; DAT mechanism and transformer,ADC|standalone DAC|op-amp|digital audio interface|transformer or mechanical salvage,probable,71,60,tape transport fault; loading fault; display fault; cosmetic damage,no audio; head/drum damage if buying for whole-machine value; liquid damage; corrosion,hard,Complex mechanism; salvage analogue and digital boards separately and document inter-board connectors.,Manufacturer manual/service documentation; verify board revision before purchase,"Excellent source of ADCs, DACs, balanced stages and S/PDIF/AES circuitry."
Denon,DTR-2000,DTR2000 DAT,DAT recorder,High-grade ADC/DAC; op-amps; transformer,ADC|standalone DAC|op-amp|digital audio interface|transformer or mechanical salvage,probable,84,110,tape transport fault; loading fault; display fault; cosmetic damage,no audio; head/drum damage if buying for whole-machine value; liquid damage; corrosion,hard,Complex mechanism; salvage analogue and digital boards separately and document inter-board connectors.,Manufacturer manual/service documentation; verify board revision before purchase,"Excellent source of ADCs, DACs, balanced stages and S/PDIF/AES circuitry."
Fostex,D-10,Fostex D10 DAT,DAT recorder,Professional ADC/DAC; balanced stages; digital I/O,ADC|standalone DAC|op-amp|digital audio interface|transformer or mechanical salvage,probable,80,95,tape transport fault; loading fault; display fault; cosmetic damage,no audio; head/drum damage if buying for whole-machine value; liquid damage; corrosion,hard,Complex mechanism; salvage analogue and digital boards separately and document inter-board connectors.,Manufacturer manual/service documentation; verify board revision before purchase,"Excellent source of ADCs, DACs, balanced stages and S/PDIF/AES circuitry."
Fostex,D-5,D5 DAT|Fostex D5,DAT recorder,ADC/DAC; DSP; DAT transport; transformer,ADC|standalone DAC|DSP|transformer or mechanical salvage,probable,68,80,loading fault; tape fault; display issue,burnt board; water damage; no audio,hard,DAT mechanism donor only if cheap,Common pro-ish DAT; exact ICs verify,Buy low.
Panasonic,SV-3700,SV3700,DAT recorder,Professional ADC/DAC; balanced I/O; clock and digital interface parts,ADC|standalone DAC|op-amp|digital audio interface|transformer or mechanical salvage,probable,84,100,tape transport fault; loading fault; display fault; cosmetic damage,no audio; head/drum damage if buying for whole-machine value; liquid damage; corrosion,hard,Complex mechanism; salvage analogue and digital boards separately and document inter-board connectors.,Manufacturer manual/service documentation; verify board revision before purchase,"Excellent source of ADCs, DACs, balanced stages and S/PDIF/AES circuitry."
Panasonic,SV-3800,SV3800,DAT recorder,Professional ADC/DAC; balanced line stages; transformer,ADC|standalone DAC|op-amp|digital audio interface|transformer or mechanical salvage,probable,87,120,tape transport fault; loading fault; display fault; cosmetic damage,no audio; head/drum damage if buying for whole-machine value; liquid damage; corrosion,hard,Complex mechanism; salvage analogue and digital boards separately and document inter-board connectors.,Manufacturer manual/service documentation; verify board revision before purchase,"Excellent source of ADCs, DACs, balanced stages and S/PDIF/AES circuitry."
Panasonic,SV-3900,SV3900,DAT recorder,High-grade broadcast DAT ADC/DAC; balanced stages; clocking,ADC|standalone DAC|op-amp|digital audio interface|transformer or mechanical salvage,probable,91,150,tape transport fault; loading fault; display fault; cosmetic damage,no audio; head/drum damage if buying for whole-machine value; liquid damage; corrosion,hard,Complex mechanism; salvage analogue and digital boards separately and document inter-board connectors.,Manufacturer manual/service documentation; verify board revision before purchase,"Excellent source of ADCs, DACs, balanced stages and S/PDIF/AES circuitry."
Sony,DTC-1000ES,DTC1000ES,DAT recorder,Early high-grade ADC/DAC; digital filters; transformer,ADC|standalone DAC|op-amp|digital audio interface|transformer or mechanical salvage,probable,88,130,tape transport fault; loading fault; display fault; cosmetic damage,no audio; head/drum damage if buying for whole-machine value; liquid damage; corrosion,hard,Complex mechanism; salvage analogue and digital boards separately and document inter-board connectors.,Manufacturer manual/service documentation; verify board revision before purchase,"Excellent source of ADCs, DACs, balanced stages and S/PDIF/AES circuitry."
Sony,DTC-2000ES,DTC2000ES,DAT recorder,Premium ADC/DAC; balanced-quality analogue stage; transformer,ADC|standalone DAC|op-amp|digital audio interface|transformer or mechanical salvage,probable,94,180,tape transport fault; loading fault; display fault; cosmetic damage,no audio; head/drum damage if buying for whole-machine value; liquid damage; corrosion,hard,Complex mechanism; salvage analogue and digital boards separately and document inter-board connectors.,Manufacturer manual/service documentation; verify board revision before purchase,"Excellent source of ADCs, DACs, balanced stages and S/PDIF/AES circuitry."
Sony,DTC-55ES,DTC55ES,DAT recorder,ADC/DAC; digital filter; op-amps; transformer,ADC|standalone DAC|op-amp|digital audio interface|transformer or mechanical salvage,probable,75,70,tape transport fault; loading fault; display fault; cosmetic damage,no audio; head/drum damage if buying for whole-machine value; liquid damage; corrosion,hard,Complex mechanism; salvage analogue and digital boards separately and document inter-board connectors.,Manufacturer manual/service documentation; verify board revision before purchase,"Excellent source of ADCs, DACs, balanced stages and S/PDIF/AES circuitry."
Sony,DTC-57ES,DTC57ES|57ES DAT,DAT recorder,ADC/DAC; DSP; DAT transport; transformer,ADC|standalone DAC|DSP|transformer or mechanical salvage,probable,78,120,loading fault; eats tapes; display issue,no sound; burnt board; water damage; missing drum,hard,DAT mechanics complex; high voltage/mains caution,Sony ES DAT class; exact converters verify by service manual,Often worth repair intact.
Sony,DTC-59ES,DTC59ES|59ES DAT,DAT recorder,ADC/DAC; DSP; DAT transport; transformer,ADC|standalone DAC|DSP|transformer or mechanical salvage,probable,80,130,loading fault; tape path fault; display issue,burnt board; water damage; no audio,hard,Transport salvage difficult,Sony ES DAT; verify internals,May be worth intact.
Sony,DTC-60ES,DTC60ES|60ES DAT,DAT recorder,ADC/DAC; DSP; DAT transport; transformer,ADC|standalone DAC|DSP|transformer or mechanical salvage,probable,82,140,loading fault; no tape movement; missing remote,burnt board; water damage; no sound,hard,Complex transport,Sony ES DAT; exact ICs verify,Repair candidate first.
Sony,DTC-670,DTC670,DAT recorder,ADC/DAC; digital audio receiver/transmitter; op-amps,ADC|standalone DAC|op-amp|digital audio interface|transformer or mechanical salvage,probable,67,50,tape transport fault; loading fault; display fault; cosmetic damage,no audio; head/drum damage if buying for whole-machine value; liquid damage; corrosion,hard,Complex mechanism; salvage analogue and digital boards separately and document inter-board connectors.,Manufacturer manual/service documentation; verify board revision before purchase,"Excellent source of ADCs, DACs, balanced stages and S/PDIF/AES circuitry."
Sony,DTC-690,DTC690 DAT,DAT recorder,ADC/DAC; DSP; DAT transport; transformer,ADC|standalone DAC|DSP|transformer or mechanical salvage,probable,62,65,loading fault; display issue; eats tapes,burnt board; water damage; no audio,hard,DAT transport hard to strip cleanly,Common DAT deck; exact chips verify,Cheap faulty units appear.
Sony,DTC-77ES,DTC77ES,DAT recorder,High-end ADC/DAC; premium analogue stage; transformer,ADC|standalone DAC|op-amp|digital audio interface|transformer or mechanical salvage,probable,92,150,tape transport fault; loading fault; display fault; cosmetic damage,no audio; head/drum damage if buying for whole-machine value; liquid damage; corrosion,hard,Complex mechanism; salvage analogue and digital boards separately and document inter-board connectors.,Manufacturer manual/service documentation; verify board revision before purchase,"Excellent source of ADCs, DACs, balanced stages and S/PDIF/AES circuitry."
Tascam,DA-20,DA20 DAT,DAT recorder,ADC/DAC; DSP; DAT transport; transformer,ADC|standalone DAC|DSP|transformer or mechanical salvage,probable,72,100,loading fault; tape path fault; display issue,burnt PSU; water damage; no audio,hard,Pro rack; mains caution; transport parts,Common pro DAT; exact converters verify,May be worth repair.
Tascam,DA-30,DA30 DAT,DAT recorder,ADC/DAC; DSP; DAT transport; transformer,ADC|standalone DAC|DSP|transformer or mechanical salvage,probable,76,120,loading fault; tape path issue; missing rack ears,burnt PSU; water damage; no audio,hard,Heavy rack unit; transport difficult,Pro DAT deck; verify board photos,Intact value can be strong.
