manufacturer,model,aliases,category,likely_valuable_components,component_type,confidence_level,desirability_score,maximum_worthwhile_delivered_price_gbp,ideal_fault_types,risky_fault_types,salvage_difficulty,package_or_removal_notes,source_or_verification_note,general_comments
Philips,CD304,CD 304,CD player,TDA1540-family DAC probable; CDM transport; transformer,standalone DAC|transformer or mechanical salvage,probable,78,90,no disc; tray fault; missing remote,burnt board; water damage; no audio,hard,Very heavy; shipping risk,Classic Philips metal-build player; verify internals,May be worth more intact.
Philips,CD450,CD 450,CD player,TDA1541-family DAC probable; CDM transport; transformer,standalone DAC|transformer or mechanical salvage,probable,70,60,no disc; tray belt; missing remote,no sound; burnt board; water damage,medium,Useful DAC/transport donor if cheap,Common Philips TDA-era model; verify board photo,Good UK eBay target.
Philips,CD473,CD 473,CD player,TDA1541-family DAC uncertain/probable; CDM transport; transformer,standalone DAC|transformer or mechanical salvage,uncertain,66,50,tray fault; no disc; broken display,no sound; missing PCB; corrosion,medium,Verify chip markings before bidding,Model-specific chip not assumed; internal photo needed,Only buy cheaply.
Philips,CD650,CD 650,CD player,TDA1541/TDA1541A DAC probable; CDM transport; transformer,standalone DAC|transformer or mechanical salvage,probable,82,100,no disc; tray belt; missing remote,no sound; burnt board; water damage,medium,DAC and transport both interesting,Widely associated with TDA1541 family; verify chip,Often valuable intact.
Philips,CD753,CD 753,CD player,bitstream DAC uncertain; CDM/VAM transport parts; transformer,standalone DAC|transformer or mechanical salvage,uncertain,50,30,tray fault; no disc; missing remote,burnt board; water damage; no sound,easy,Mostly mechanical/PSU donor unless chip verified,Later Philips players vary; verify board photos,Cheap donor only.
Philips,CD850,CD 850,CD player,TDA1541A DAC probable; CDM transport; transformer,standalone DAC|transformer or mechanical salvage,probable,86,120,no disc; tray fault; display dim,no sound; burnt board; missing DAC board,hard,High intact value; heavy shipping,Widely cited TDA1541A-era Philips; verify internals,Usually worth repair if complete.
Philips,CD960,CD 960,CD player,TDA1541A/S-class DAC reported on some units; CDM1 transport; transformer,standalone DAC|transformer or mechanical salvage,probable,92,180,transport fault; no disc; tray issue,missing DAC board; water damage; burnt PSU,hard,Very heavy and collectible; salvage only if beyond repair,Vintage Philips references commonly note TDA1541A/CDM1; verify exact chip grade,Usually worth more intact.
Pioneer,PD-S505,PDS505,CD player,DAC/filter stage; stable platter mechanism,standalone DAC|DSP|transformer or mechanical salvage,uncertain,55,40,tray fault; no disc; missing remote,burnt board; no sound; water damage,easy,Verify chip markings,Exact components not assumed,Cheap common unit.
Pioneer,PD-S703,PDS703|Stable Platter,CD player,Legato Link DAC/filter stage; stable platter mechanism; transformer,standalone DAC|DSP|transformer or mechanical salvage,probable,68,60,tray fault; no disc; missing remote,no sound; burnt board; water damage,medium,Stable platter parts useful; verify laser,Known Pioneer stable-platter player; exact DAC should be checked,Common UK donor.
Pioneer,PD-S904,PDS904|Stable Platter,CD player,Legato Link DAC/filter stage; stable platter mechanism; transformer,standalone DAC|DSP|transformer or mechanical salvage,probable,74,85,no disc; tray fault; display issue,burnt board; water damage; no sound,medium,Transport/chassis useful,Pioneer stable-platter high model; verify internals,May be valuable intact.
Rotel,RCD-1070,RCD1070|Rotel 1070 CD,CD player,Burr-Brown PCM1732U DAC; op-amps; KSS-213 transport; transformer,standalone DAC|op-amp|transformer or mechanical salvage,confirmed,69,55,no disc; tray fault; laser fault,no audio; missing output board,medium,Useful but not rare enough to justify a high price.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Common enough to appear cheaply.
Rotel,RCD-955AX,RCD955AX|955 AX,CD player,Philips TDA1541A DAC; SAA7220 digital filter; CDM-4 transport; transformer,standalone DAC|DSP|transformer or mechanical salvage,confirmed,92,135,tray fault; laser fault; no disc,no sound; missing DAC; corrosion,medium,Through-hole DAC and desirable transport.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,A classic hidden-gem search term.
Rotel,RCD-971,RCD971|Rotel 971 CD,CD player,2 x Burr-Brown PCM63P DACs; PMD100 digital filter; op-amps; transformer,standalone DAC|DSP|op-amp|transformer or mechanical salvage,confirmed,97,190,laser fault; tray fault; cosmetic damage,no audio; DAC board missing; modified unit,medium,PCM63 and PMD100 are especially desirable and should be removed carefully.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,"Excellent donor, but increasingly recognised by sellers."
Rotel,RCD-990,RCD990|Rotel 990 CD,CD player,2 x Burr-Brown PCM63P DACs; PMD100 digital filter; CDM-9 Pro transport,standalone DAC|DSP|transformer or mechanical salvage,confirmed,98,220,transport fault; tray fault; cosmetic damage,no sound; missing boards; corrosion,hard,Both electronics and transport are valuable.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Usually too valuable to break unless badly damaged.
Rotel,RCD-991,RCD991|Rotel 991 CD,CD player,2 x Burr-Brown PCM63P DACs; PMD100 digital filter; op-amps; transformer,standalone DAC|DSP|op-amp|transformer or mechanical salvage,confirmed,98,210,laser fault; tray fault; cosmetic damage,no audio; missing DACs; modified output stage,medium,High-value through-hole DAC/filter pair.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Prime saved-search material.
Sony,CDP-227ESD,CDP227ESD,CD player,Sony DAC/filter stage; transformer; KSS optical block,standalone DAC|DSP|transformer or mechanical salvage,probable,70,70,no disc; tray fault; missing remote,no sound; burnt board; corrosion,medium,KSS laser/transport parts may be useful,Sony ES player; exact DAC/filter IC should be verified,Some ES units collectible.
Sony,CDP-337ESD,CDP337ESD,CD player,Sony DAC/filter stage; transformer; KSS transport,standalone DAC|DSP|transformer or mechanical salvage,probable,76,100,laser fault; tray fault; display issue,burnt board; water damage; no sound,hard,Heavy; verify board photos,Sony ES line; exact chips require service manual/photo,Likely worth repair if complete.
Sony,CDP-XB930,CDPXB930|XB930,CD player,DAC/filter stage; op-amps; transformer; KSS transport,standalone DAC|op-amp|transformer or mechanical salvage,probable,64,55,tray fault; no disc; missing remote,burnt board; water damage; no sound,medium,Good transport donor if cheap,Common UK Sony player; exact DAC not assumed,Often cheap with laser faults.
Sony,CDP-XE900E,CDPXE900E|XE900E,CD player,DAC/filter stage; op-amps; transport parts,standalone DAC|op-amp|transformer or mechanical salvage,uncertain,55,40,no disc; tray fault; missing remote,burnt board; water damage,easy,Lower salvage value; verify before buying,Exact IC uncertain,Cheap only.
Technics,SL-P1200,SLP1200|SL-P 1200,CD player,professional CD transport; DAC stage; transformer,standalone DAC|transformer or mechanical salvage,probable,82,150,no disc; display fault; tray fault,burnt board; water damage; missing transport,hard,Pro deck; heavy; often worth repair,Known professional Technics CD player; exact DAC needs service data,Usually worth more intact.
Technics,SL-PG490,SLPG490,CD player,MASH DAC stage; transformer; transport,standalone DAC|DSP|transformer or mechanical salvage,probable,52,35,tray fault; no disc; missing remote,burnt board; water damage; no sound,easy,Low-value donor; transport/PSU parts,Technics MASH-era player; verify board photos,Common cheap UK listing.
Technics,SL-PS620A,SLPS620A|SL-PS620,CD player,MASH DAC stage; transformer; transport,standalone DAC|DSP|transformer or mechanical salvage,probable,58,45,tray fault; no disc; display dim,burnt board; no sound; water damage,medium,Check transport and DAC board,Technics MASH-era; exact IC should be verified,Good cheap donor.
Fostex,D-5,D5 DAT|Fostex D5,DAT recorder,ADC/DAC; DSP; DAT transport; transformer,ADC|standalone DAC|DSP|transformer or mechanical salvage,probable,68,80,loading fault; tape fault; display issue,burnt board; water damage; no audio,hard,DAT mechanism donor only if cheap,Common pro-ish DAT; exact ICs verify,Buy low.
Sony,DTC-57ES,DTC57ES|57ES DAT,DAT recorder,ADC/DAC; DSP; DAT transport; transformer,ADC|standalone DAC|DSP|transformer or mechanical salvage,probable,78,120,loading fault; eats tapes; display issue,no sound; burnt board; water damage; missing drum,hard,DAT mechanics complex; high voltage/mains caution,Sony ES DAT class; exact converters verify by service manual,Often worth repair intact.
Sony,DTC-59ES,DTC59ES|59ES DAT,DAT recorder,ADC/DAC; DSP; DAT transport; transformer,ADC|standalone DAC|DSP|transformer or mechanical salvage,probable,80,130,loading fault; tape path fault; display issue,burnt board; water damage; no audio,hard,Transport salvage difficult,Sony ES DAT; verify internals,May be worth intact.
Sony,DTC-60ES,DTC60ES|60ES DAT,DAT recorder,ADC/DAC; DSP; DAT transport; transformer,ADC|standalone DAC|DSP|transformer or mechanical salvage,probable,82,140,loading fault; no tape movement; missing remote,burnt board; water damage; no sound,hard,Complex transport,Sony ES DAT; exact ICs verify,Repair candidate first.
Sony,DTC-690,DTC690 DAT,DAT recorder,ADC/DAC; DSP; DAT transport; transformer,ADC|standalone DAC|DSP|transformer or mechanical salvage,probable,62,65,loading fault; display issue; eats tapes,burnt board; water damage; no audio,hard,DAT transport hard to strip cleanly,Common DAT deck; exact chips verify,Cheap faulty units appear.
Tascam,DA-20,DA20 DAT,DAT recorder,ADC/DAC; DSP; DAT transport; transformer,ADC|standalone DAC|DSP|transformer or mechanical salvage,probable,72,100,loading fault; tape path fault; display issue,burnt PSU; water damage; no audio,hard,Pro rack; mains caution; transport parts,Common pro DAT; exact converters verify,May be worth repair.
Tascam,DA-30,DA30 DAT,DAT recorder,ADC/DAC; DSP; DAT transport; transformer,ADC|standalone DAC|DSP|transformer or mechanical salvage,probable,76,120,loading fault; tape path issue; missing rack ears,burnt PSU; water damage; no audio,hard,Heavy rack unit; transport difficult,Pro DAT deck; verify board photos,Intact value can be strong.
Pioneer,DV-717,DV717|DVL? not laserdisc,DVD player with notable audio DACs,audio DAC stage; transformer; DVD transport,standalone DAC|transformer or mechanical salvage,probable,58,45,no disc; tray fault; missing remote,burnt board; water damage; no sound,medium,DVD players low value unless audio board verified,Popular older DVD player; exact DAC requires photo,Buy only cheap.
Pioneer,DV-737,DV737,DVD player with notable audio DACs,audio DAC stage; transformer; transport,standalone DAC|transformer or mechanical salvage,probable,62,55,no disc; tray fault; missing remote,burnt board; no sound; water damage,medium,Check audio board,Known higher-line DVD player; verify DAC chip,Good cheap donor.
Sony,DVP-S7700,DVPS7700|S7700 DVD,DVD player with notable audio DACs,audio DAC stage; heavy transformer/chassis; transport,standalone DAC|transformer or mechanical salvage,probable,72,80,no disc; tray fault; missing remote,no sound; burnt board; water damage,hard,Large heavy DVD player; good PSU/chassis donor,Known premium Sony DVD platform; verify audio board,Often bought for intact use too.
Pioneer,DV-757Ai,DV757Ai|757Ai,DVD/SACD player,multichannel DAC stage; FireWire/audio DSP; transformer,standalone DAC|DSP|transformer or mechanical salvage,probable,72,85,no disc; SACD/DVD-A read fault; missing remote,no sound; burnt board; water damage,hard,Complex boards; verify complete internals,Universal player class; exact DAC should be verified,May be worth intact to collectors.
Pioneer,DV-868AVi,DV868AVi|868AVi,DVD/SACD player,multichannel DAC stage; i.Link/audio DSP; transformer,standalone DAC|DSP|transformer or mechanical salvage,probable,78,120,disc read fault; tray fault; missing remote,burnt board; no sound; water damage,hard,Heavy and complex,Higher-line Pioneer universal player; verify DAC board,Often worth more intact.
Arcam,Alpha 5 Plus,Alpha 5+|Alpha Five Plus,integrated amplifier,transformer; discrete power amp parts; phono stage op-amps probable,transformer or mechanical salvage|power amplifier IC|op-amp,probable,66,70,scratchy controls; input fault; cosmetic damage,burnt transformer; water damage; no sound both channels,medium,Phono/line op-amps possible; verify board,Arcam integrated amp class; exact op-amps verify,Good UK donor.
Arcam,Alpha 8 Integrated,Alpha 8 amp|Alpha Eight amp,integrated amplifier,transformer; discrete output stage; phono/line op-amps probable,transformer or mechanical salvage|power amplifier IC|op-amp,probable,72,90,scratchy controls; display/input fault; missing remote,burnt output; water damage; transformer fault,medium,Worth repair if clean,Common Arcam amp; exact small-signal parts verify,Often worth intact.
Audiolab,8000A,8000 A,integrated amplifier,transformer; discrete power amp parts; phono op-amps probable; Alps pot,transformer or mechanical salvage|power amplifier IC|op-amp,probable,78,120,scratchy controls; selector fault; cosmetic damage,burnt transformer; water damage; missing boards,medium,High intact value; repair first,Classic UK integrated; exact op-amps verify,Usually worth more intact.
Cambridge Audio,A1,Cambridge A1 Mk3|A1 Mk3,integrated amplifier,transformer; power amp IC or discrete output depending revision; pots,transformer or mechanical salvage|power amplifier IC,uncertain,45,30,scratchy controls; broken terminals; cosmetic damage,burnt transformer; water damage; missing PCB,easy,Low-value learner donor,Revision-dependent internals; verify photos,Very common cheap amp.
Cambridge Audio,A500,A500 RC,integrated amplifier,toroidal transformer; discrete power amp parts; relays,transformer or mechanical salvage|power amplifier IC,confirmed,62,55,scratchy controls; relay fault; missing remote,burnt outputs; transformer fault; water damage,medium,Heavy transformer,Common Cambridge integrated architecture,Good cheap local pickup.
Cambridge Audio,Azur 540A,540A|Azur540A,integrated amplifier,toroidal transformer; discrete output parts; relays,transformer or mechanical salvage|power amplifier IC,confirmed,64,60,relay fault; input selector fault; missing remote,burnt outputs; no sound both channels; water damage,medium,Discharge caps; through-hole outputs,Common integrated amp layout,Often repairable.
Cambridge Audio,Azur 640A,640A|Azur640A,integrated amplifier,toroidal transformer; discrete output parts; relays,transformer or mechanical salvage|power amplifier IC,confirmed,68,70,relay fault; scratchy controls; display fault,burnt output stage; transformer fault; water damage,medium,Heavy; good PSU donor,Common Cambridge amp; verify board condition,Worth repair if complete.
Denon,PMA-250SE,PMA250SE|PMA 250 SE,integrated amplifier,transformer; output devices; phono/line parts,transformer or mechanical salvage|power amplifier IC|op-amp,probable,55,45,scratchy controls; missing knobs; cosmetic damage,burnt transformer; water damage; no sound,medium,Through-hole friendly,Common Denon integrated; exact parts verify,Cheap donor.
Denon,PMA-350SE,PMA350SE,integrated amplifier,transformer; output devices; phono/line parts,transformer or mechanical salvage|power amplifier IC|op-amp,probable,58,50,scratchy controls; selector fault,burnt output; transformer fault; water damage,medium,Heavy enough that postage matters,Common amp; verify photos,Local cheap target.
Marantz,PM-66SE,PM66SE|PM-66 KI,integrated amplifier,transformer; discrete output parts; phono/line op-amps probable,transformer or mechanical salvage|power amplifier IC|op-amp,probable,68,75,scratchy controls; selector fault; missing remote,burnt outputs; water damage; transformer fault,medium,KI variants worth intact,Common Marantz integrated; exact small ICs verify,Good donor if rough.
Marantz,PM6002,PM-6002,integrated amplifier,toroidal transformer; discrete output parts; phono stage parts,transformer or mechanical salvage|power amplifier IC|op-amp,probable,70,85,input selector fault; missing remote; cosmetic damage,burnt output; water damage; transformer fault,medium,Worth repair first,Common UK amp; exact op-amps verify,Often not cheap enough for salvage.
NAD,3020e,3020 e,integrated amplifier,power transformer; discrete power amp parts; pots/switches,transformer or mechanical salvage|power amplifier IC,confirmed,68,75,scratchy controls; input switch fault; missing knobs,burnt transformer; water damage; no sound both channels,medium,Good through-hole salvage,Common NAD amp architecture; verify transformer health,Repair candidate first.
NAD,3020i,3020 i|NAD 3020,integrated amplifier,power transformer; discrete power amp transistors; pots/switches,transformer or mechanical salvage|power amplifier IC,confirmed,70,80,scratchy controls; broken speaker terminals; cosmetic damage,burnt transformer; water damage; missing amp board,medium,Through-hole parts; discharge capacitors,Amplifier topology visible/service docs common; no DAC claim,Usually worth more intact if complete.
NAD,C320BEE,C320 BEE|C 320BEE,integrated amplifier,toroidal transformer; discrete power amp parts; pots/relays,transformer or mechanical salvage|power amplifier IC,confirmed,72,90,scratchy controls; relay fault; cosmetic damage,burnt output stage; transformer hum severe; water damage,medium,Heavy transformer; through-hole power parts,Integrated amp class with visible transformer/discrete outputs,Often worth intact.
NAD,C350,C 350,integrated amplifier,toroidal transformer; discrete output devices; relays,transformer or mechanical salvage|power amplifier IC,confirmed,72,90,relay fault; scratchy controls; missing remote,burnt outputs; water damage; transformer fault,medium,Discharge caps; heavy transformer,Common NAD integrated architecture,Good local donor if output fault isolated.
Pioneer,A-400,A400|Pioneer A400,integrated amplifier,transformer; discrete power amp parts; pots/switches,transformer or mechanical salvage|power amplifier IC,confirmed,72,90,scratchy controls; broken terminals; cosmetic damage,burnt transformer; water damage; missing boards,medium,Usually repair before salvage,Classic amp with known discrete architecture,Often worth more intact.
Rotel,RA-01,RA01|RA 01,integrated amplifier,toroidal transformer; discrete output parts; volume pot,transformer or mechanical salvage|power amplifier IC,confirmed,70,80,selector fault; scratchy volume; missing remote,burnt outputs; transformer fault; water damage,medium,Through-hole power parts,Visible architecture in common photos/service data,May be worth intact.
Rotel,RA-930AX,RA930AX|RA 930 AX,integrated amplifier,transformer; discrete power amp parts; ALPS-style pots/switches,transformer or mechanical salvage|power amplifier IC,confirmed,66,65,scratchy controls; selector fault; cosmetic damage,burnt transformer; water damage; missing boards,medium,Through-hole friendly,Common Rotel integrated layout; verify internals,Often cheap but repairable.
Rotel,RA-931,RA931|RA 931,integrated amplifier,transformer; discrete output parts; pots/switches,transformer or mechanical salvage|power amplifier IC,confirmed,64,60,scratchy controls; broken terminals,burnt output board; water damage; no sound both channels,medium,Good mechanical parts,Rotel amp class; no DAC claim,Cheap donor.
Technics,SU-V500,SUV500,integrated amplifier,power amplifier IC/module or discrete hybrid stage; transformer; pots,power amplifier IC|transformer or mechanical salvage,probable,48,35,scratchy controls; broken terminals,burnt amp IC/module; water damage; transformer fault,medium,Hybrid/output IC may be obsolete but only if not failed,Technics integrated class; exact output part verify,Cheap only.
Yamaha,AX-396,AX396,integrated amplifier,transformer; discrete output devices; relays/pots,transformer or mechanical salvage|power amplifier IC,confirmed,58,50,scratchy controls; relay fault; missing remote,burnt output; water damage; transformer fault,medium,Through-hole power parts,Common Yamaha integrated architecture,Cheap donor only.
Yamaha,AX-596,AX596,integrated amplifier,large transformer; discrete output stage; relays/pots,transformer or mechanical salvage|power amplifier IC,confirmed,66,70,relay fault; input selector; missing remote,burnt output; transformer hum; water damage,medium,Good transformer donor; heavy,Common Yamaha integrated; verify board,Worth repair if clean.
Denon,DMD-1000,DMD1000,MiniDisc deck,ATRAC DSP; ADC/DAC/codec; transformer; mechanism,combined codec|ADC|standalone DAC|DSP|transformer or mechanical salvage,probable,58,50,loading fault; no disc; missing remote,no sound; burnt board; water damage,medium,Verify mechanism completeness,MD deck class; exact chips uncertain,Cheap donor.
Sharp,MD-R2,MDR2|MD R2,MiniDisc deck,ATRAC DSP; ADC/DAC/codec; MD mechanism; transformer,combined codec|ADC|standalone DAC|DSP|transformer or mechanical salvage,uncertain,52,40,loading fault; no disc,burnt board; water damage; missing mechanism,medium,Exact parts uncertain; verify internals,Model-specific components not assumed,Buy only cheap.
Sony,MDS-JA20ES,MDSJA20ES|JA20ES,MiniDisc deck,ATRAC DSP; ADC/DAC; op-amps; transformer; MD mechanism,combined codec|ADC|standalone DAC|DSP|op-amp|transformer or mechanical salvage,probable,84,160,loading fault; no disc; display issue,burnt board; water damage; no sound,hard,Heavy ES deck; high intact value,Sony ES MD deck; exact ICs need service manual/photo,"Usually repair, not salvage."
Sony,MDS-JA30ES,MDSJA30ES|JA30ES,MiniDisc deck,ATRAC DSP; ADC/DAC; op-amps; transformer; MD mechanism,combined codec|ADC|standalone DAC|DSP|op-amp|transformer or mechanical salvage,probable,88,200,mechanism fault; display issue; missing remote,burnt board; water damage; missing mechanism,hard,Very high intact value,Sony ES deck; exact components verify,Do not buy as donor unless severely faulty cheap.
Sony,MDS-JB930,MDSJB930|JB930,MiniDisc deck,ATRAC DSP; ADC/DAC/codec; better analogue stage; transformer,combined codec|ADC|standalone DAC|DSP|op-amp,probable,76,100,loading fault; display issue; missing remote,no sound; burnt board; water damage,medium,Higher-value deck; avoid stripping working units,Sony QS/ES-ish MD deck; exact ICs verify,Usually worth more intact.
Sony,MDS-JE330,MDSJE330|JE330,MiniDisc deck,ATRAC DSP; ADC/DAC/codec; optical pickup; transformer,combined codec|ADC|standalone DAC|DSP|transformer or mechanical salvage,probable,50,35,no disc; loading fault; missing remote,no sound; burnt board; water damage; missing mechanism,medium,MD mechanisms delicate; transformer small,Common Sony MD deck; exact audio ICs vary,Cheap donor only.
Sony,MDS-JE520,MDSJE520|JE520,MiniDisc deck,ATRAC DSP; ADC/DAC/codec; optical pickup; transformer,combined codec|ADC|standalone DAC|DSP|transformer or mechanical salvage,probable,56,45,loading fault; no disc; display dim,no sound; water damage; missing mechanism,medium,Mechanism and display parts useful,Common Sony MD deck; verify board,Often worth repair if clean.
Sony,MDS-JE530,MDSJE530|JE530,MiniDisc deck,ATRAC DSP; ADC/DAC/codec; optical pickup; transformer,combined codec|ADC|standalone DAC|DSP|transformer or mechanical salvage,probable,58,50,no disc; loading fault; missing remote,no sound; burnt board; water damage,medium,MD laser/mech salvage possible,Common UK deck; exact chips verify,Good cheap MD donor.
ASUS,Xonar D2,D2 PCI|XonarD2|ASUS D2,PCI sound card,Burr-Brown PCM1796 DACs; TI RC4580 op-amps; C-Media/ASUS AV processor,standalone DAC|op-amp|DSP,confirmed,84,85,driver issue; untested; cosmetic shield damage; missing driver disc,burnt board; missing EMI shield plus damaged PCB; corrosion,medium,Multiple SMD DACs; inspect shield screws and PCI connector,Techgage and APH Networks reviews identify PCM1796 and RC4580 parts,Multichannel DAC donor; often appears as old PC part.
ASUS,Xonar DS,DS PCI|XonarDS,PCI sound card,audio codec/DAC; swappable front op-amp on some boards,combined codec|op-amp,probable,55,30,driver issue; untested; missing bracket,burnt board; missing op-amp; corrosion,easy,Check if op-amp socket is populated,Common board photos show socketed op-amp on DS family; verify listing photos,Useful only very cheap.
ASUS,Xonar Essence ST,Essence ST|Xonar ST|Essance ST,PCI sound card,TI/Burr-Brown PCM1792A DAC; swappable op-amps; headphone amp parts,standalone DAC|op-amp,confirmed,96,140,driver issue; missing remote; noisy channel; untested,missing op-amps; burnt board; no sound both channels; liquid damage,medium,Socketed op-amps easy; DAC is SMD; check daughterboard header if present,ASUS Essence family documentation and common board photos identify PCM1792A class parts,Often worth more intact; buy only if cheap faulty.
Auzentech,X-Fi Prelude 7.1,Prelude|XFi Prelude|X-Fi Prelude,PCI sound card,Creative X-Fi DSP; AKM-class converters probable; op-amps,standalone DAC|ADC|op-amp|DSP,probable,78,85,driver issue; untested; missing software,burnt board; missing op-amps; corrosion,medium,Good old enthusiast card; verify chip markings,Known X-Fi based board; exact audio ICs should be verified by photo,Can be collectible intact.
Auzentech,X-Meridian 7.1,X Meridian|XMeridian,PCI sound card,C-Media Oxygen HD; multiple DACs; swappable op-amps on some boards,standalone DAC|op-amp|DSP,probable,76,80,driver issue; untested; noisy channel,missing op-amps; burnt board; liquid damage,medium,Look for socketed op-amps,Known enthusiast Oxygen HD card; verify exact DACs,Rare in UK.
Creative,SB0380,Sound Blaster Audigy 4 Pro|Audigy 4 Pro SB0380|Audigy4 Pro,PCI sound card,Cirrus Logic CS4398 DAC; ADC; socketed or through-hole analogue-stage op-amps depending board area,standalone DAC|ADC|op-amp,confirmed,82,70,driver issue; untested; missing breakout box; cosmetic damage,burnt board; missing main PCB; corrosion; physically snapped PCI edge,medium,Small SMD audio ICs; hot air recommended; inspect gold fingers,TrustedReviews Audigy 4 Pro review states SB0380 and Cirrus Logic CS4398 DACs; verify exact board revision,Often cheaper without breakout box; may be worth more intact if complete boxed kit.
E-MU,0404 PCI,EMU 0404|E MU 0404,PCI sound card,AKM converter ICs probable; op-amps; clock parts,ADC|standalone DAC|op-amp,probable,70,55,driver issue; untested; missing software,burnt board; corrosion; missing jack plate,medium,Good analogue-stage donor; SMD removal,Widely documented studio card; verify chip markings for exact converter,Often cheap due driver support.
E-MU,1212M PCI,EMU 1212M|E MU 1212M,PCI sound card,high-grade ADC/DAC daughtercard; op-amps; DSP,ADC|standalone DAC|op-amp|DSP,probable,78,80,driver issue; missing cable; untested,missing daughtercard; burnt board; corrosion,medium,Only worthwhile if both cards present unless buying for parts,Model known for higher-grade converters; verify daughtercard photos,May be worth more intact to recording users.
E-MU,1616M PCI,EMU 1616M|E MU 1616M,PCI sound card,high-grade ADC/DAC in MicroDock; op-amps; DSP,ADC|standalone DAC|op-amp|DSP,probable,80,90,missing PSU; driver issue; noisy jack; untested,missing MicroDock; burnt dock board; liquid damage,hard,Dock disassembly; many SMD analogue parts,Model known for premium converter spec; verify internal dock photos,Complete sets can sell for intact use.
HT Omega,Claro Halo,Claro Halo PCI,PCI sound card,C-Media Oxygen HD processor; op-amps; DAC stage,standalone DAC|op-amp|DSP,probable,72,70,driver issue; untested; missing box,burnt board; missing op-amps; corrosion,medium,Check op-amp sockets and headphone amp area,Product family uses replaceable op-amps; exact DAC should be verified,Less common in UK but worth watching.
Lynx,L22,LynxTwo L22|Lynx L22,PCI sound card,high-grade ADC/DAC; balanced line op-amps; clocking,ADC|standalone DAC|op-amp,probable,86,160,driver issue; missing breakout; untested,burnt board; water damage; missing daughter parts,medium,High intact value; verify photo before bidding,Professional interface reputation; exact chips require board verification,Usually worth more intact.
M-Audio,Audiophile 2496,Delta Audiophile 2496|M Audio 2496,PCI sound card,AKM-class ADC/DAC likely; op-amps; crystal oscillator,ADC|standalone DAC|op-amp,probable,62,45,driver issue; untested; missing breakout cable,burnt board; corrosion; snapped RCA; missing main PCB,medium,Older SMD parts; RCA jacks reusable,Popular PCI interface; exact converter chips should be verified from board photos,Common cheap studio card.
M-Audio,Delta 1010LT,1010 LT|Delta1010LT,PCI sound card,multiple ADC/DAC channels; op-amps; breakout cable parts,ADC|standalone DAC|op-amp,probable,64,55,missing breakout loom; untested; driver issue,burnt board; missing loom if you wanted intact use; water damage,medium,Lots of analogue stages; cable salvage possible,Model-specific converter chips vary in online reports; verify board photos,Good job-lot donor when cables are missing.
RME,Digi96/8 PAD,Digi96 PAD|Hammerfall PAD,PCI sound card,ADC/DAC; clocking parts; balanced analogue stage,ADC|standalone DAC|op-amp,probable,75,90,driver issue; untested; old Mac/PC card,burnt board; missing breakout; corrosion,medium,May be worth more intact to legacy studio users,RME model has pro converter stage; exact ICs must be verified,Do not strip a working complete card cheaply.
RME,HDSP 9632,Hammerfall HDSP9632|HDSP9632,PCI sound card,ADC/DAC; clocking; op-amps,ADC|standalone DAC|op-amp,probable,85,150,driver issue; missing breakout; untested,burnt board; missing main PCB; water damage,medium,High intact value; salvage only severe accessory faults,RME pro card; exact chips vary; verify board photos,Usually worth more intact.
ASUS,Xonar D2X,D2X PCIe|XonarD2X|ASUS D2X,PCIe sound card,Burr-Brown PCM1796 DACs probable same D2 family; op-amps; AV processor,standalone DAC|op-amp|DSP,probable,84,90,missing power adapter; untested; driver issue,burnt auxiliary power area; missing main PCB; corrosion,medium,Check auxiliary power connector area; SMD removal,ASUS D2/D2X family documentation and D2 reviews; verify D2X board photos,PCIe version can be priced higher than D2.
ASUS,Xonar DSX,DSX PCIe|XonarDSX,PCIe sound card,audio codec/DAC; swappable op-amp on some boards,combined codec|op-amp,probable,55,35,driver issue; untested; missing bracket,burnt board; missing op-amp; liquid damage,easy,Check socket before buying,Common board photos; verify exact revision,Often low-value intact.
ASUS,Xonar DX,DX PCIe|XonarDX,PCIe sound card,multichannel audio codec/DAC; op-amps probable,combined codec|op-amp,probable,55,35,driver issue; untested; missing low-profile bracket,burnt board; corrosion; missing components,easy,Lower-value SMD parts; mostly board-level donor,Board photos and product class; exact IC varies by revision,Cheap common card; not high priority.
ASUS,Xonar Essence STX,Essence STX|Xonar STX|Essance STX|Sonar STX,PCIe sound card,TI/Burr-Brown PCM1792A DAC; swappable op-amps; headphone amplifier parts,standalone DAC|op-amp,confirmed,96,150,driver issue; missing box; noisy headphone output; untested,missing op-amps; burnt board; lightning damage; water damage,medium,Socketed op-amps easy; SMD DAC needs hot air,diyAudio and many board photos identify PCM1792A; verify revision,Usually worth more intact if fully working.
